# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	808455
#@/user_id	Mac
ba 	罷	c=4 d=6.95763e-145 t=808443
ba 	霸	c=8 d=1.60105e-184 t=808443
ba a 	巴阿	c=1 d=0 t=808443
ba a bu 	巴阿不	c=1 d=0 t=808443
ba ba 	吧吧	c=3 d=4.51196e-261 t=808443
ba ba 	把把	c=-1 d=0 t=808443
ba ba 	爸爸	c=751 d=0.018968 t=808443
ba ba 	粑粑	c=3 d=0.0223708 t=808443
ba ba gei ni 	爸爸給你	c=1 d=2.18386e-101 t=808443
ba ba gei ta 	爸爸給他	c=1 d=0 t=808443
ba ba hao kun 	爸爸好睏	c=1 d=5.03372e-43 t=808443
ba ba kan wan 	爸爸看完	c=1 d=0 t=808443
ba ba la 	巴巴拉	c=2 d=0 t=808443
ba ba mang 	爸爸忙	c=1 d=5.10967e-219 t=808443
ba ba nen 	爸爸嫩	c=1 d=5.10342e-234 t=808443
ba ba pei ni 	爸爸陪你	c=1 d=0 t=808443
ba ba zhi shi 	爸爸只是	c=1 d=2.67946e-66 t=808443
ba bai 	八百	c=1 d=0 t=808443
ba bai ge 	八百個	c=1 d=0 t=808443
ba bao fan 	八寶飯	c=2 d=8.9519e-217 t=808443
ba bi 	芭比	c=5 d=0 t=808443
ba bu de 	八步的	c=1 d=0 t=808443
ba bu de 	巴不得	c=3 d=5.10305e-145 t=808443
ba cao 	拔草	c=2 d=0 t=808443
ba cha 	拔插	c=2 d=0 t=808443
ba chi zhu 	把持住	c=1 d=0 t=808443
ba chu lai 	拔出來	c=2 d=0 t=808443
ba dao 	拔刀	c=1 d=5.1735e-218 t=808443
ba dao zong cai 	霸道总裁	c=1 d=0 t=808443
ba diao 	拔掉	c=11 d=4.97461e-139 t=808443
ba er gan 	巴爾幹	c=0 d=1.44701e-142 t=808443
ba fang 	八方	c=1 d=0 t=808443
ba fang cheng 	八方城	c=3 d=0 t=808443
ba fang zhi yuan 	八方支援	c=1 d=0 t=808443
ba fei te 	巴菲特	c=3 d=0 t=808443
ba fen shu 	八分熟	c=1 d=4.64201e-178 t=808443
ba gong 	罷工	c=2 d=5.30821e-50 t=808443
ba gua 	八卦	c=7 d=0 t=808443
ba guan 	把關	c=2 d=0 t=808443
ba hen 	疤痕	c=1 d=0 t=808443
ba hu 	跋扈	c=0 d=7.01566e-273 t=808443
ba huo guan 	拔火罐	c=1 d=0 t=808443
ba ji 	巴唧	c=1 d=0 t=808443
ba ji si tan 	巴基斯坦	c=21 d=0.00491727 t=808443
ba ji si tan bi 	巴基斯坦幣	c=1 d=1.46284e-122 t=808443
ba jian 	拔劍	c=1 d=0 t=808443
ba jiao 	八角	c=0 d=0 t=808443
ba jiao long 	八角籠	c=1 d=0 t=808443
